Designator,Footprint,Quantity,Value,LCSC Part #,MOQ,Unit Price,Total Cost,Amount
"C1, C2, C3, C4, C5, C12, C13, C14, C17, C24, C34, C35",Capacitor_SMD:C_0402_1005Metric,12,10uF,C307415,5,$0.1900,$2.28,12
"C6, C7, C8, C9, C10, C11, C15, C16, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C37, C38",Capacitor_SMD:C_0402_1005Metric,25,0.1uF,C131394,100,$0.0096,$0.96,100
C36,Capacitor_SMD:C_0402_1005Metric,1,4.7uF,C21120,5,$0.0200,$0.10,5
D1,LED_SMD:LED_Cree-PLCC4_2x2mm_CW,1,LED_ARGB,C2786,5,$0.1300,$0.65,5
D2,LED_SMD:LED_0402_1005Metric,1,GREEN,C2286,5,$0.0100,$0.05,5
"FB1, FB2, FB3",Inductor_SMD:L_0603_1608Metric,3,BLM18HE152SN1D,C82155,10,$0.0300,$0.30,10
J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948,5,$0.1900,$0.95,5
"J3, J4",Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical,2,Conn_02x12_Odd_Even,C492423,10,$0.0700,$0.70,10
"R1, R2",Resistor_SMD:R_0402_1005Metric,2,5.1k,C25905,100,$0.0040,$0.40,100
"R3, R4",Resistor_SMD:R_0402_1005Metric,2,22,C23200,100,$0.0040,$0.40,100
"R5, R6, R10, R11, R19, R20, R21, R23, R24",Resistor_SMD:R_0402_1005Metric,9,10k,C25904,100,$0.0040,$0.40,100
R7,Resistor_SMD:R_0402_1005Metric,1,1k,C25898,100,$0.0040,$0.40,100
"R8, R9, R14",Resistor_SMD:R_0402_1005Metric,3,0R,C25887,100,$0.0030,$0.30,100
R12,Resistor_SMD:R_0402_1005Metric,1,100,C22861,100,$0.0040,$0.40,100
R18,Resistor_SMD:R_0402_1005Metric,1,12k,C25913,100,$0.0040,$0.40,100
R22,Resistor_SMD:R_0402_1005Metric,1,2.2k,C25901,100,$0.0040,$0.40,100
SW1,Button_Switch_SMD:Panasonic_EVQPUM_EVQPUD,1,SW_Push,C158289,1,$0.2000,$0.20,1
U1,Package_TO_SOT_SMD:SOT-23-6,1,USBLC6-2SC6,C7519,5,$0.1800,$0.90,5
U2,Package_TO_SOT_SMD:SOT-23-5,1,TLV75712PDBV,C485515,5,$0.1800,$0.90,5
U3,Package_TO_SOT_SMD:SOT-23-5,1,TLV75725PDBV,C485516,5,$0.1800,$0.90,5
U4,Package_TO_SOT_SMD:SOT-23-5,1,TLV75733PDBV,C485517,5,$0.1800,$0.90,5
U5,Package_SO:VSSOP-8_3x3mm_P0.65mm,1,74AUC2G240,C2652105,1,$0.7200,$0.72,1
U6,Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,C2678152,1,$8.5600,$8.56,1
U7,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C113767,12,$2.5200,$30.24,12
U8,Package_QFP:LQFP-48_7x7mm_P0.5mm,1,FT232H,C51997,1,$10.6200,$10.62,1
U9,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,93LC56BT-I/OT,C190271,5,$0.4500,$2.25,5
Y1,Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,1,SG-210STF,C17426037,1,$0.3700,$0.37,1
PCB,,1,50x70mm Purple 1.6mm LeadFree HASL 100x150mm panel,,,,$20.00,1
STENCIL,,1,Top 100x150mm No-Framework,,,,$18.00,1

TOTAL,,,Components: $65.65,PCB: $20,Stencil: $18,GRAND TOTAL: $103.65,
