Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",72.000000,-100.000000,0.000000,top
"C2","10uF","C_0402_1005Metric",72.000000,-104.000000,0.000000,top
"C3","10uF","C_0402_1005Metric",77.000000,-91.000000,90.000000,top
"C4","10uF","C_0402_1005Metric",77.000000,-97.000000,-90.000000,top
"C5","10uF","C_0402_1005Metric",77.000000,-93.000000,-90.000000,top
"C6","0.1uF","C_0402_1005Metric",77.000000,-89.000000,-90.000000,top
"C7","0.1uF","C_0402_1005Metric",77.000000,-99.000000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",77.000000,-95.000000,90.000000,top
"C9","0.1uF","C_0402_1005Metric",83.000000,-89.000000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",83.000000,-97.000000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",83.000000,-95.000000,90.000000,top
"C12","10uF","C_0402_1005Metric",83.000000,-91.000000,90.000000,top
"C13","10uF","C_0402_1005Metric",83.000000,-99.000000,90.000000,top
"C14","10uF","C_0402_1005Metric",83.000000,-93.000000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",49.999999,-75.000000,180.000000,top
"C16","0.1uF","C_0402_1005Metric",61.250000,-72.100000,-135.000000,top
"C17","10uF","C_0402_1005Metric",54.500000,-42.500000,-90.000000,top
"C18","0.1uF","C_0402_1005Metric",57.500000,-64.500000,180.000000,top
"C19","0.1uF","C_0402_1005Metric",71.433810,-66.400000,-45.000000,top
"C20","0.1uF","C_0402_1005Metric",70.019596,-63.120102,45.000000,top
"C21","0.1uF","C_0402_1005Metric",57.500000,-66.750000,180.000000,top
"C22","0.1uF","C_0402_1005Metric",59.600000,-69.950000,-135.000000,top
"C23","0.1uF","C_0402_1005Metric",57.910000,-69.482894,180.000000,top
"C24","10uF","C_0402_1005Metric",60.828427,-52.343146,45.000000,top
"C25","0.1uF","C_0402_1005Metric",60.121320,-51.636039,45.000000,top
"C26","0.1uF","C_0402_1005Metric",55.000000,-80.350000,0.000000,top
"C27","0.1uF","C_0402_1005Metric",58.000000,-84.000000,180.000000,top
"C28","0.1uF","C_0402_1005Metric",58.000000,-83.000000,180.000000,top
"C29","0.1uF","C_0402_1005Metric",68.200000,-92.000000,180.000000,top
"C30","0.1uF","C_0402_1005Metric",71.000000,-83.000000,-90.000000,top
"C31","0.1uF","C_0402_1005Metric",59.000000,-89.000000,-90.000000,top
"C32","0.1uF","C_0402_1005Metric",63.000000,-93.000000,-90.000000,top
"C33","0.1uF","C_0402_1005Metric",66.300000,-92.000000,0.000000,top
"C34","10uF","C_0402_1005Metric",62.000000,-93.000000,-90.000000,top
"C35","10uF","C_0402_1005Metric",66.300000,-93.000000,0.000000,top
"C36","4.7uF","C_0402_1005Metric",58.000000,-85.000000,180.000000,top
"C37","0.1uF","C_0402_1005Metric",61.800000,-94.900000,180.000000,top
"C38","0.1uF","C_0402_1005Metric",53.600000,-92.000000,90.000000,top
"D1","LED_ARGB","LED_Cree-PLCC4_2x2mm_CW",57.500000,-42.500000,0.000000,top
"D2","GREEN","LED_0402_1005Metric",70.000000,-42.500000,-90.000000,top
"FB1","BLM18HE152SN1D","L_0603_1608Metric",72.000000,-102.000000,0.000000,top
"FB2","BLM18HE152SN1D","L_0603_1608Metric",60.000000,-93.000000,0.000000,top
"FB3","BLM18HE152SN1D","L_0603_1608Metric",69.000000,-94.000000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",47.000000,-41.000000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",88.000000,-49.000000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",88.000000,-101.000000,0.000000,top
"FID4","Fiducial","Fiducial_0.5mm_Mask1mm",42.000000,-101.000000,0.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3",45.000000,-45.000000,0.000000,top
