Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C17, C2, C24, C3, C34, C35, C4, C5",0402,12,10uF,C307415
"C6, C7, C8, C9, C10, C11, C15, C16, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C37, C38",0402,25,0.1uF,C131394
C36,0402,1,4.7uF,C21120
D1,LED_Cree-PLCC4_2x2mm_CW,1,LED_ARGB,C2786
D2,0402,1,GREEN,C2286
"FB1, FB2, FB3",0603,3,BLM18HE152SN1D,C82155
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"J3, J4",PinHeader_2x12_P2.54mm_Vertical,2,Conn_02x12_Odd_Even,C492423
"R1, R2",0402,2,5.1k,C25905
"R3, R4",0402,2,22,C23200
"R5, R6, R10, R11, R19, R20, R21, R23, R24",0402,9,10k,C25904
R7,0402,1,1k,C25898
"R8, R9, R14",0402,3,0R,C25887
R12,0402,1,100,C22861
R18,0402,1,12k,C25913
R22,0402,1,2.2k,C25901
SW1,Panasonic_EVQPUM_EVQPUD,1,SW_Push,C158289
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,SOT-23-5,1,TLV75712PDBV,C485515
U3,SOT-23-5,1,TLV75725PDBV,C485516
U4,SOT-23-5,1,TLV75733PDBV,C485517
U5,VSSOP-8_3x3mm_P0.65mm,1,74AUC2G240,C2652105
U6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,C2678152
U7,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C113767
U8,LQFP-48_7x7mm_P0.5mm,1,FT232H,C51997
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,93LC56BT-I/OT,C190271
Y1,Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,1,SG-210STF,C17426037
