Designator,Mid X,Mid Y,Rotation,Layer
C1,72.0,-100.0,0.0,top
C10,83.0,-97.0,270.0,top
C11,83.0,-95.0,90.0,top
C12,83.0,-91.0,90.0,top
C13,83.0,-99.0,90.0,top
C14,83.0,-93.0,270.0,top
C15,49.999999,-75.0,180.0,top
C16,61.25,-72.1,225.0,top
C17,54.5,-42.5,270.0,top
C18,57.5,-64.5,180.0,top
C19,71.43381,-66.4,315.0,top
C2,72.0,-104.0,0.0,top
C20,70.019596,-63.120102,45.0,top
C21,57.5,-66.75,180.0,top
C22,59.6,-69.95,225.0,top
C23,57.91,-69.482894,180.0,top
C24,60.828427,-52.343146,45.0,top
C25,60.12132,-51.636039,45.0,top
C26,55.0,-80.35,0.0,top
C27,58.0,-84.0,180.0,top
C28,58.0,-83.0,180.0,top
C29,68.2,-92.0,180.0,top
C3,77.0,-91.0,90.0,top
C30,71.0,-83.0,270.0,top
C31,59.0,-89.0,270.0,top
C32,63.0,-93.0,270.0,top
C33,66.3,-92.0,0.0,top
C34,62.0,-93.0,270.0,top
C35,66.3,-93.0,0.0,top
C36,58.0,-85.0,180.0,top
C4,77.0,-97.0,270.0,top
C5,77.0,-93.0,270.0,top
C6,77.0,-89.0,270.0,top
C7,77.0,-99.0,90.0,top
C8,77.0,-95.0,90.0,top
C9,83.0,-89.0,270.0,top
D1,57.5,-42.5,0.0,top
D2,70.0,-42.5,270.0,top
FB1,72.0,-102.0,0.0,top
FB2,60.0,-93.0,0.0,top
FB3,69.0,-94.0,180.0,top
FID1,47.0,-41.0,0.0,top
FID2,88.0,-49.0,0.0,top
FID3,88.0,-101.0,0.0,top
FID4,42.0,-101.0,0.0,top
H1,45.0,-45.0,0.0,top
H2,85.0,-45.0,0.0,top
H3,85.0,-105.0,0.0,top
H4,45.0,-105.0,0.0,top
J1,65.0,-106.06,0.0,top
J3,44.995,-65.0,0.0,top
J4,83.995,-65.0,0.0,top
R1,69.0,-100.0,180.0,top
R10,61.535534,-53.050253,225.0,top
R11,53.0,-60.75,315.0,top
R12,60.307107,-70.657106,225.0,top
R14,59.0,-75.0,270.0,top
R18,64.0,-93.0,90.0,top
R19,51.2,-92.0,270.0,top
R2,61.0,-100.0,0.0,top
R20,51.0,-82.0,270.0,top
R21,55.0,-82.0,270.0,top
R22,53.0,-82.0,180.0,top
R3,68.0,-98.0,270.0,top
R4,62.0,-98.0,270.0,top
R5,68.605382,-61.705888,225.0,top
R6,69.95,-60.35,45.0,top
R7,70.0,-44.500001,90.0,top
R8,62.242641,-53.757359,225.0,top
R9,53.757359,-62.242641,45.0,top
SW1,65.0,-42.0,0.0,top
TP1,72.0,-77.0,180.0,top
TP10,64.0,-79.0,90.0,top
TP11,62.0,-77.0,90.0,top
TP12,62.0,-79.0,90.0,top
TP13,85.0,-90.0,0.0,top
TP14,85.0,-98.0,0.0,top
TP15,84.975,-94.0,0.0,top
TP2,72.0,-79.0,180.0,top
TP3,70.0,-77.0,180.0,top
TP4,70.0,-79.0,90.0,top
TP5,68.0,-77.0,90.0,top
TP6,68.0,-79.0,90.0,top
TP7,66.0,-77.0,90.0,top
TP8,66.0,-79.0,90.0,top
TP9,64.0,-77.0,90.0,top
U1,65.0,-98.0,270.0,top
U2,80.0,-90.0,180.0,top
U3,80.0,-98.0,180.0,top
U4,80.0,-94.0,180.0,top
U5,55.0,-74.0,0.0,top
U6,65.069848,-66.655635,315.0,top
U7,58.0,-58.0,315.0,top
U8,65.0,-86.0,0.0,top
U9,53.0,-87.0,180.0,top
Y1,54.99,-78.0,90.0,top
